,Description,Price,Rating,URL
10,WearMe Pro Polarized Aviator One-Bridge Modern Square Mens Sunglasses,S$58.40,4.3 out of 5 stars,https://www.amazon.sg/WearMe-Pro-Polarized-One-Bridge-Sunglasses/dp/B0BCX93XZ1/ref=sr_1_11?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-11
11,Men's Navigator Sunglasses,S$34.14,3.7 out of 5 stars,https://www.amazon.sg/Timberland-Navigator-Sunglasses-Nickeltin-Polarized/dp/B0CC71NHQH/ref=sr_1_12?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-12
12,KALIYADI Classic Aviator Sunglasses for Men Women Driving Sun glasses Polarized Lens UV Blocking,S$34.05,4.4 out of 5 stars,https://www.amazon.sg/KALIYADI-Sunglasses-Polarized-Blocking-Blackish/dp/B07XCQ3Z8H/ref=sr_1_13?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-13
13,Polarized Sports Sunglasses for Men Women Unbreakable Frame Cycling Fishing Wrap Around Sunglasses UV400 Protection,S$31.33,4.4 out of 5 stars,https://www.amazon.sg/Ofwin-Polarized-Sunglasses-Unbreakable-Protection/dp/B0C13T4WVL/ref=sr_1_14?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-14
14,"Armani EA4130 Sunglasses 57515A-63 -, Light Brown Mirror Gold EA4130-57515A-63, Red, 63 mm",S$64.22,4.6 out of 5 stars,https://www.amazon.sg/Armani-EA4130-Sunglasses-57515A-63-EA4130-57515A-63/dp/B07RS2F6WJ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-15
15,Men's Fos3060s Rectangular Sunglasses,S$51.16,4.2 out of 5 stars,https://www.amazon.sg/Fossil-FOS3060s-Rectangular-Sunglasses-MATTE/dp/B01N7UFC08/ref=sr_1_16?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-16
16,Men's UA Hustle Rectangular Sunglasses,S$70.91,4.5 out of 5 stars,https://www.amazon.sg/Under-Armour-UA-Rectangular-Sunglasses/dp/B08W3JYWVM/ref=sr_1_17?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-17
17,Polarized Sunglasses for Womens Men Trendy Square Hexagonal Flat Mirrored Sun Glasses UV Protection,S$17.26,4.3 out of 5 stars,https://www.amazon.sg/YWWPMDOF-Polarized-Sunglasses-Hexagonal-Protection/dp/B0BX5BF1SS/ref=sr_1_18?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-18
18,Adult Ua Dominate Rectangular Sunglasses,S$66.16,4.3 out of 5 stars,https://www.amazon.sg/Under-Armour-Dominate-Rectangular-Sunglasses/dp/B09X78RL2V/ref=sr_1_19?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-19
19,Women's Metal Sunglasses Pilot,S$34.98,4.3 out of 5 stars,https://www.amazon.sg/GUESS-Womens-Metal-Sunglasses-Gradient/dp/B0BYC3FLGZ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.So9kfMp72sV-QTP30LvBRCfI6Dz_0ReKxcEq-igPu7ULrVg6gtreoaBqajjl4KNdB6BAsSQp59QMi4VSJDOY5-zXpWGvPfs68zt6OOQ_5xuG1Moh4WH_cXzbo372HezpxChptKD8GH8v0Ruj_KeJ3yQKyhf4hEs_50lSbUJkSykrcF7zdFsUXQsIxItWecSfcaU7XbPaTg4EUudmgxmI4GiuFr1bCzQrajNNa0m6953KEdFoQ2ConjHQ5lwqLGXqPDwsAduH85cQADhaSzCPwaEiqhXHMYriou0nfp_6qa9a5-GeRMyOGdHL4vIV_OOSgALpK5_7K4qNKQGxtxxgUxANqm-U02Pjimr0aFpVfgCVXPNoAfQd3RVhsElyF40RGs7s6cQOlSlajZyYeqCn0F3V7kHeoxArnmpyFe8ziJw4aQCRjpIwbHF7K6KCDPgD.ZpD3W8AB_bqleqUHile7rfgJRBFmwOis5wq-ajC9g6Y&dib_tag=se&keywords=sunglasses&qid=1743513348&sr=8-20
